STL_Type,Count,SampleFiles
std::is_same,35,"bmcweb/redfish-core/include/utils/extern/date.h:4315, bmcweb/redfish-core/include/utils/extern/date.h:4401, bmcweb/redfish-core/include/utils/extern/date.h:4402"
std::from_chars,34,"bmcweb/include/human_sort.hpp:71, bmcweb/include/human_sort.hpp:76, bmcweb/include/async_resolve.hpp:82"
std::enable_if_t,34,"bmcweb/redfish-core/include/utils/extern/date.h:4401, bmcweb/redfish-core/include/utils/extern/date.h:4430, bmcweb/redfish-core/include/utils/extern/date.h:4443"
std::ostringstream,34,"bmcweb/redfish-core/lib/systems_logservices_postcodes.hpp:254, entity-manager/src/entity_manager/overlay.cpp:66, dbus-sensors/src/DeviceMgmt.cpp:56"
std::getline,34,"bmcweb/redfish-core/lib/log_services.hpp:1587, bmcweb/redfish-core/lib/log_services.hpp:1682, bmcweb/redfish-core/src/filesystem_log_watcher.cpp:44"
std::views,34,"bmcweb/redfish-core/lib/message_registries.hpp:47, entity-manager/src/gpio-presence/config_provider.cpp:107, entity-manager/src/gpio-presence/gpio_presence_manager.cpp:176"
std::stoi,33,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:239, entity-manager/src/fru_device/fru_utils.cpp:1004, entity-manager/src/fru_device/fru_utils.cpp:1112"
std::intmax_t,32,"bmcweb/redfish-core/include/utils/extern/date.h:1159, bmcweb/redfish-core/include/utils/extern/date.h:1159, bmcweb/redfish-core/include/utils/extern/date.h:1162"
std::unique_lock,32,"sdbusplus/include/sdbusplus/event.hpp:138, sdbusplus/include/sdbusplus/async/match.hpp:71, sdbusplus/include/sdbusplus/async/stdexec/async_scope.hpp:64"
std::time_t,31,"bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:90, bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:94, bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:97"
std::equal,31,"entity-manager/test/test_fru-utils.cpp:188, entity-manager/test/test_fru-utils.cpp:292, entity-manager/src/fru_device/fru_utils.cpp:761"
std::system_error,30,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:56, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:79, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:143"
std::setfill,30,"entity-manager/src/fru_device/fru_utils.cpp:140, entity-manager/src/fru_device/fru_utils.cpp:352, entity-manager/src/fru_device/fru_utils.cpp:504"
std::this_thread,29,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:31, entity-manager/src/fru_device/fru_device.cpp:1040, phosphor-logging/test/elog_update_ts_test.cpp:81"
std::begin,29,"bmcweb/include/hostname_monitor.hpp:109, bmcweb/redfish-core/include/utils/extern/date.h:5102, bmcweb/redfish-core/include/utils/extern/date.h:5127"
std::ratio,28,"bmcweb/redfish-core/include/utils/extern/date.h:192, bmcweb/redfish-core/include/utils/extern/date.h:195, bmcweb/redfish-core/include/utils/extern/date.h:198"
std::logic_error,28,"dbus-sensors/src/mctp/MCTPReactorMain.cpp:61, dbus-sensors/src/mctp/MCTPReactorMain.cpp:115, dbus-sensors/src/mctp/MCTPReactorMain.cpp:141"
std::allocator_traits,28,"sdbusplus/include/sdbusplus/async/stdexec/any_sender_of.hpp:397, sdbusplus/include/sdbusplus/async/stdexec/any_sender_of.hpp:400, sdbusplus/include/sdbusplus/async/stdexec/any_sender_of.hpp:408"
std::uint8_t,27,"bmcweb/redfish-core/lib/memory.hpp:431, bmcweb/redfish-core/lib/memory.hpp:432, bmcweb/redfish-core/lib/memory.hpp:433"
std::copy,26,"entity-manager/src/fru_device/fru_device.cpp:1303, entity-manager/src/fru_device/fru_device.cpp:1312, entity-manager/src/fru_device/fru_device.cpp:1327"
std::end,25,"bmcweb/redfish-core/include/utils/extern/date.h:5102, bmcweb/redfish-core/include/utils/extern/date.h:5127, bmcweb/redfish-core/include/utils/extern/date.h:5247"
std::tuple_cat,25,"phosphor-host-ipmid/include/ipmid/handler.hpp:233, phosphor-host-ipmid/include/ipmid/handler.hpp:242, phosphor-host-ipmid/include/ipmid/handler.hpp:249"
std::copy_n,24,"bmcweb/redfish-core/include/redfish_oem_routing.hpp:36, entity-manager/src/fru_device/fru_utils.cpp:661, entity-manager/src/fru_device/fru_utils.cpp:1072"
std::terminate,24,"bmcweb/redfish-core/include/utils/extern/date.h:4963, bmcweb/src/boost_asio.cpp:15, bmcweb/src/boost_asio.cpp:22"
std::for_each,24,"entity-manager/src/entity_manager/entity_manager.cpp:560, pldm/libpldmresponder/pdr_utils.cpp:188, pldm/pldmtool/pldm_platform_cmd.cpp:861"
std::hash,23,"bmcweb/include/sessions.hpp:475, bmcweb/http/http_response.hpp:242, bmcweb/http/http_response.hpp:294"
std::enable_if,22,"bmcweb/redfish-core/include/utils/extern/date.h:1123, bmcweb/redfish-core/include/utils/extern/date.h:1136, bmcweb/redfish-core/include/utils/extern/date.h:1217"
std::declval,22,"bmcweb/redfish-core/include/utils/extern/date.h:6265, bmcweb/redfish-core/include/utils/extern/date.h:6278, bmcweb/redfish-core/include/utils/extern/date.h:6291"
std::smatch,22,"entity-manager/src/utils.cpp:45, entity-manager/src/utils.cpp:63, entity-manager/src/utils.cpp:107"
std::in_place_type,22,"pldm/platform-mc/test/dbus_to_terminus_effecter_test.cpp:116, pldm/platform-mc/test/dbus_to_terminus_effecter_test.cpp:118, pldm/libpldmresponder/test/libpldmresponder_platform_test.cpp:604"
std::apply,22,"phosphor-host-ipmid/include/ipmid/handler.hpp:266, phosphor-host-ipmid/include/ipmid/message.hpp:470, phosphor-host-ipmid/include/ipmid/message.hpp:645"
std::rethrow_if_nested,22,"phosphor-power/phosphor-regulators/test/actions/compare_vpd_action_tests.cpp:168, phosphor-power/phosphor-regulators/test/actions/i2c_compare_byte_action_tests.cpp:238, phosphor-power/phosphor-regulators/test/actions/i2c_write_bit_action_tests.cpp:215"
std::true_type,21,"bmcweb/redfish-core/include/utils/json_utils.hpp:63, bmcweb/redfish-core/include/utils/json_utils.hpp:71, bmcweb/redfish-core/include/utils/json_utils.hpp:79"
std::uint64_t,21,"bmcweb/redfish-core/include/utils/extern/date.h:3934, bmcweb/redfish-core/include/utils/extern/date.h:3934, bmcweb/redfish-core/include/utils/extern/date.h:3942"
std::regex_search,21,"entity-manager/src/utils.cpp:49, entity-manager/src/utils.cpp:80, entity-manager/src/utils.cpp:112"
